Geography,Year,Sex,Age,Population
AB,2020,BOTH,ALL,4407505.0
AB,2020,FEMALE,ALL,2185859.0
AB,2020,MALE,ALL,2221647.0
AB,2020,BOTH,00,50757.0
AB,2020,FEMALE,00,24821.0
AB,2020,MALE,00,25936.0
AB,2020,BOTH,01to04,218480.0
AB,2020,FEMALE,01to04,106745.0
AB,2020,MALE,01to04,111735.0
AB,2020,BOTH,05to09,280084.0
AB,2020,FEMALE,05to09,136074.0
AB,2020,MALE,05to09,144010.0
AB,2020,BOTH,10to14,276732.0
AB,2020,FEMALE,10to14,134074.0
AB,2020,MALE,10to14,142658.0
AB,2020,BOTH,15to19,255263.0
AB,2020,FEMALE,15to19,124358.0
AB,2020,MALE,15to19,130905.0
AB,2020,BOTH,20to24,275506.0
AB,2020,FEMALE,20to24,133075.0
AB,2020,MALE,20to24,142431.0
AB,2020,BOTH,25to29,312877.0
AB,2020,FEMALE,25to29,153285.0
AB,2020,MALE,25to29,159592.0
AB,2020,BOTH,30to34,352684.0
AB,2020,FEMALE,30to34,174575.0
AB,2020,MALE,30to34,178109.0
AB,2020,BOTH,35to39,355311.0
AB,2020,FEMALE,35to39,175379.0
AB,2020,MALE,35to39,179932.0
AB,2020,BOTH,40to44,315563.0
AB,2020,FEMALE,40to44,155018.0
AB,2020,MALE,40to44,160545.0
AB,2020,BOTH,45to49,286913.0
AB,2020,FEMALE,45to49,140349.0
AB,2020,MALE,45to49,146564.0
AB,2020,BOTH,50to54,267154.0
AB,2020,FEMALE,50to54,131837.0
AB,2020,MALE,50to54,135317.0
AB,2020,BOTH,55to59,286976.0
AB,2020,FEMALE,55to59,142508.0
AB,2020,MALE,55to59,144468.0
AB,2020,BOTH,60to64,266266.0
AB,2020,FEMALE,60to64,132233.0
AB,2020,MALE,60to64,134033.0
AB,2020,BOTH,65to69,209037.0
AB,2020,FEMALE,65to69,105276.0
AB,2020,MALE,65to69,103761.0
AB,2020,BOTH,70to74,157294.0
AB,2020,FEMALE,70to74,81081.0
AB,2020,MALE,70to74,76213.0
AB,2020,BOTH,75to79,101761.0
AB,2020,FEMALE,75to79,53470.0
AB,2020,MALE,75to79,48291.0
AB,2020,BOTH,80to84,67880.0
AB,2020,FEMALE,80to84,37424.0
AB,2020,MALE,80to84,30456.0
AB,2020,BOTH,85to89,43867.0
AB,2020,FEMALE,85to89,25893.0
AB,2020,MALE,85to89,17974.0
AB,2020,BOTH,90+,27100.0
AB,2020,FEMALE,90+,18385.0
AB,2020,MALE,90+,8715.0
AB,2021,BOTH,ALL,4431540.0
